Date,Close,High,Low,Open,Volume
2020-06-12,887.6592407226562,896.0306055592257,877.0976275950752,880.2612337526716,2105897
2020-06-15,918.857177734375,930.5868431107154,889.703320714638,892.6235723143578,6159384
2020-06-16,901.1410522460938,922.8969048166432,893.645727263591,918.5165270309479,2459099
2020-06-17,904.2559814453125,913.990154108672,892.8183285658652,904.4993357618964,1903488
2020-06-18,894.9111328125,912.0919711896263,890.7741094639878,907.1275669364815,1745711
2020-06-19,890.1414794921875,902.2605369996782,888.0486084906781,895.105884055411,2295673
2020-06-22,910.3885498046875,924.7464552947908,891.8936206987917,897.9288199737775,2542504
2020-06-23,912.968017578125,918.4677891221673,899.4861536819769,910.3884382275949,1869848
2020-06-24,896.9066772460938,919.5872872716421,891.9422136271922,915.0122143175198,1642404
2020-06-25,910.3885498046875,921.1447993232123,896.9067436688821,900.2649858974416,2393857
2020-06-26,902.1144409179688,918.6138752699502,897.4907089575045,911.1185505251889,1226064
2020-06-29,900.0216064453125,911.0699283820034,894.5704933629052,902.114477392897,1254935
2020-06-30,887.5618286132812,910.1451204908839,883.181451028031,910.1451204908839,1890864
2020-07-01,879.3851928710938,886.7344814388027,867.8501624770788,885.8583821233722,2184216
2020-07-02,871.2084350585938,888.973299795822,868.8235509236639,881.4293161402867,2144667
2020-07-03,876.124267578125,880.1639733161559,866.3414351647,874.9074958995229,2103089
2020-07-06,852.2755126953125,875.5402101368276,849.7933104408215,872.1819085394916,2750613
2020-07-07,847.3596801757812,860.8902031418186,844.1474152695963,852.275425197196,2421820
2020-07-08,842.3953857421875,866.0007561234505,839.0857430370625,850.7667510607803,3517313
2020-07-09,844.0013427734375,858.5539413027699,839.572306546076,848.235743097532,2105983
2020-07-10,838.2095947265625,851.6428006996069,835.1920249283718,846.8730322700274,1826593
2020-07-13,846.6783447265625,853.6869610786142,835.5327049029211,845.753586420966,1910103
2020-07-14,849.793212890625,859.8193981361246,845.4614944819015,847.846378496832,2542417
2020-07-15,834.3646240234375,855.5364493231161,832.3690711202249,851.8374162233777,1623972
2020-07-16,856.1691284179688,857.5805953098103,833.2938230947219,838.8909722695589,1862973
2020-07-17,873.544677734375,879.7258536045905,846.8730208973651,861.3282435234743,3563919
